manufacturer,type,fuel,transmission,drive,paint_color,odometer_mean,odometer_std,odometer_median,odometer_count,year_mean,year_std,year_median,year_count,price_mean,price_std,price_median,price_count,odometer_cv,year_cv,price_cv
acura,hatchback,gas,manual,fwd,black,148642.5,16061.930534652427,148642.5,2,2003.0,4.242640687119285,2003.0,2,4015.0,5635.641046056784,4015.0,2,0.10805745688246919,0.002118143128866343,1.4036465868136447
acura,hatchback,gas,manual,fwd,red,156000.0,,156000.0,1,1999.0,,1999.0,1,5500.0,,5500.0,1,0.0,0.0,0.0
acura,hatchback,gas,manual,fwd,white,161000.0,55154.32893255071,161000.0,2,1999.5,9.192388155425117,1999.5,2,7250.0,8838.834764831845,7250.0,2,0.34257347163074975,0.00459734341356595,1.2191496227354268
acura,hatchback,other,automatic,fwd,black,93784.0,0.0,93784.0,2,2016.0,0.0,2016.0,2,21905.0,0.0,21905.0,2,0.0,0.0,0.0
acura,hatchback,other,automatic,fwd,silver,70810.0,,70810.0,1,2012.0,,2012.0,1,0.0,,0.0,1,0.0,0.0,0.0
acura,hatchback,other,automatic,fwd,white,23831.0,,23831.0,1,2018.0,,2018.0,1,33988.0,,33988.0,1,0.0,0.0,0.0
acura,other,gas,automatic,4wd,brown,50499.0,,50499.0,1,2018.0,,2018.0,1,28450.0,,28450.0,1,0.0,0.0,0.0
acura,other,gas,automatic,fwd,black,51680.666666666664,24925.365821454525,37290.0,3,2017.0,1.7320508075688772,2018.0,3,16159.666666666666,13562.535173533499,23990.0,3,0.482295748663998,0.0008587262308224478,0.8392831023866106
acura,other,gas,automatic,fwd,red,91757.0,,91757.0,1,2008.0,,2008.0,1,9995.0,,9995.0,1,0.0,0.0,0.0
acura,other,gas,automatic,fwd,white,56526.5,91.65618987748222,56576.0,8,2013.75,1.38873014965883,2013.0,8,6697.0,12400.434416353553,0.0,8,0.0016214729353043655,0.0006896239104451049,1.8516401995451028
acura,other,gas,manual,fwd,grey,74491.0,24248.10574044909,74491.0,2,2014.0,0.0,2014.0,2,14245.0,2474.8737341529163,14245.0,2,0.3255172536339838,0.0,0.17373630987384459
acura,other,gas,other,fwd,black,19336.0,0.0,19336.0,2,2019.0,0.0,2019.0,2,37590.0,0.0,37590.0,2,0.0,0.0,0.0
acura,other,gas,other,fwd,blue,32590.545454545456,8233.894453949957,38619.0,22,2018.0454545454545,0.21320071635561655,2018.0,22,27226.363636363636,2123.462010277299,25990.0,22,0.25264672128405763,0.00010564713291041206,0.07799286157484488
acura,other,gas,other,fwd,red,12046.0,0.0,12046.0,27,2019.0,0.0,2019.0,27,41101.11111111111,237.50843439814113,40990.0,27,0.0,0.0,0.00577863780266354
acura,other,gas,other,fwd,silver,28639.666666666668,3960.3117481906834,30386.0,36,2017.8333333333333,0.37796447300923497,2018.0,36,26756.666666666668,529.1502622129184,26990.0,36,0.13828065089877734,0.00018731203750354421,0.019776389518359975
acura,other,gas,other,fwd,white,42122.72727272727,61101.621536733226,20930.0,11,2017.6363636363637,3.557322793133223,2019.0,11,28254.545454545456,8316.551405043276,31990.0,11,1.4505618579994939,0.0017631139373013181,0.29434383994683405
acura,other,other,automatic,fwd,black,115108.0,,115108.0,1,2016.0,,2016.0,1,19285.0,,19285.0,1,0.0,0.0,0.0
acura,other,other,automatic,fwd,silver,3949.0,,3949.0,1,2020.0,,2020.0,1,42877.0,,42877.0,1,0.0,0.0,0.0
acura,other,other,automatic,fwd,white,11112.0,0.0,11112.0,2,2019.0,0.0,2019.0,2,33485.0,0.0,33485.0,2,0.0,0.0,0.0
acura,other,other,other,fwd,white,13327.673469387755,18630.70333413341,3207.0,49,2018.6938775510205,2.599712176638097,2020.0,49,37822.65306122449,9452.631638753262,42990.0,49,1.3978961427083392,0.0012878189236854173,0.24991984627445482
acura,sedan,diesel,automatic,fwd,black,155173.0,0.0,155173.0,2,2010.0,0.0,2010.0,2,6980.0,0.0,6980.0,2,0.0,0.0,0.0
acura,sedan,diesel,other,fwd,black,29014.0,0.0,29014.0,39,2017.0,0.0,2017.0,39,19590.0,0.0,19590.0,39,0.0,0.0,0.0
acura,sedan,gas,automatic,4wd,black,84714.75,42701.7775255423,85983.0,12,2013.9166666666667,1.7816403745544127,2014.0,12,16468.5,4814.351849135326,18499.0,12,0.5040654375482699,0.0008846643975111909,0.2923369978525868
acura,sedan,gas,automatic,4wd,blue,53581.666666666664,82942.85718694127,11500.0,3,2013.6666666666667,6.027713773341711,2013.0,3,14498.333333333334,19372.338741962296,6995.0,3,1.547970833063696,0.002993401973187408,1.3361769450715457
acura,sedan,gas,automatic,4wd,custom,32361.0,,32361.0,1,2015.0,,2015.0,1,22995.0,,22995.0,1,0.0,0.0,0.0
acura,sedan,gas,automatic,4wd,grey,125230.78125,47634.463452105345,120730.0,32,2010.90625,3.622148489145536,2011.0,32,12531.75,8740.607663233755,12990.0,32,0.3803734431474318,0.001801251793386955,0.6974770214242828
acura,sedan,gas,automatic,4wd,red,300000.0,,300000.0,1,1999.0,,1999.0,1,3000.0,,3000.0,1,0.0,0.0,0.0
acura,sedan,gas,automatic,4wd,silver,125190.33333333333,33541.05352572255,130342.0,27,2009.3333333333333,3.1132471299766484,2010.0,27,9774.074074074075,5621.477925886134,9800.0,27,0.26792047462974417,0.0015493930640228843,0.5751417355018021
acura,sedan,gas,automatic,4wd,white,55634.857142857145,51397.55956172529,32111.0,14,2014.857142857143,4.974661068580735,2018.0,14,12453.92857142857,12518.958524292946,9349.5,14,0.923837360267656,0.002468989469658618,1.0052216417085902
acura,sedan,gas,automatic,fwd,black,109748.63953488372,134902.20640923493,99500.0,172,2011.6220930232557,5.4130209304634125,2012.0,172,12622.982558139534,9896.55285988338,9934.5,172,1.2291925164717519,0.0026908736731600584,0.7840106578854377
acura,sedan,gas,automatic,fwd,blue,81096.83870967742,78916.09734853657,62330.0,93,2012.9354838709678,6.3018397100144234,2014.0,93,17627.645161290322,11275.321319672064,16990.0,93,0.9731094159052512,0.0031306714797911432,0.6396385459603117
acura,sedan,gas,automatic,fwd,brown,130231.0,44420.42628866439,135000.0,7,2006.142857142857,5.669467095138417,2008.0,7,8391.714285714286,5680.088811344582,5900.0,7,0.3410894970372983,0.002826053526024989,0.6768687085800972
acura,sedan,gas,automatic,fwd,custom,99031.42105263157,39033.950143597634,95945.0,19,2012.9473684210527,3.6889276401825795,2014.0,19,14157.263157894737,6132.149223034878,15400.0,19,0.3941572253401526,0.0018326001454653821,0.43314510401082085
acura,sedan,gas,automatic,fwd,green,140196.55555555556,46946.188415863726,122000.0,9,2002.2222222222222,4.576510072582015,2004.0,9,5711.111111111111,2789.1281991172636,4700.0,9,0.3348597847488514,0.002285715352565934,0.4883687508181979
acura,sedan,gas,automatic,fwd,grey,125672.90697674418,51516.995887195124,125036.0,129,2009.5116279069769,4.2114358430902055,2009.0,129,8521.232558139534,5645.397552309242,7900.0,129,0.40992921327687887,0.0020957509200763675,0.6625095036183144
acura,sedan,gas,automatic,fwd,red,130992.75,84420.57084009644,118202.0,32,2009.71875,5.449086191516968,2010.0,32,7986.90625,7279.7301144557905,5100.0,32,0.6444675055687924,0.0027113675440988785,0.9114580648114895
acura,sedan,gas,automatic,fwd,silver,117524.65,60254.28391306685,117401.0,120,2008.8666666666666,5.156269469872353,2008.0,120,9585.666666666666,6230.5676587402595,8124.5,120,0.5126948594449492,0.0025667554524304017,0.6499879325458421
acura,sedan,gas,automatic,fwd,white,91826.09659090909,56595.84782888772,89375.0,176,2012.346590909091,5.30436906416131,2013.0,176,12862.920454545454,9730.480128775427,11099.5,176,0.6163372933189757,0.0026359122668650364,0.7564751848665054
acura,sedan,gas,automatic,fwd,yellow,125000.0,,125000.0,1,2006.0,,2006.0,1,6200.0,,6200.0,1,0.0,0.0,0.0
acura,sedan,gas,automatic,rwd,black,82718.0,0.0,82718.0,2,2016.0,0.0,2016.0,2,16900.0,0.0,16900.0,2,0.0,0.0,0.0
acura,sedan,gas,automatic,rwd,blue,244500.0,135057.39520663058,244500.0,2,2007.0,7.0710678118654755,2007.0,2,5500.0,4949.747468305833,5500.0,2,0.5523819844851966,0.0035232026964950054,0.899954085146515
acura,sedan,gas,automatic,rwd,brown,179000.0,,179000.0,1,2000.0,,2000.0,1,3500.0,,3500.0,1,0.0,0.0,0.0
acura,sedan,gas,automatic,rwd,custom,118000.0,,118000.0,1,2011.0,,2011.0,1,0.0,,0.0,1,0.0,0.0,0.0
acura,sedan,gas,automatic,rwd,green,208000.0,,208000.0,1,1999.0,,1999.0,1,2000.0,,2000.0,1,0.0,0.0,0.0
acura,sedan,gas,automatic,rwd,grey,61500.0,,61500.0,1,2012.0,,2012.0,1,16980.0,,16980.0,1,0.0,0.0,0.0
acura,sedan,gas,automatic,rwd,silver,135716.66666666666,20219.812890660818,139150.0,3,2009.6666666666667,4.041451884327406,2009.0,3,8499.333333333334,3500.571429543087,6999.0,3,0.14898548120344457,0.002011006079446379,0.4118642359647526
acura,sedan,gas,automatic,rwd,white,171264.0,0.0,171264.0,3,2010.0,0.0,2010.0,3,7995.0,0.0,7995.0,3,0.0,0.0,0.0
acura,sedan,gas,manual,4wd,black,103200.0,,103200.0,1,2013.0,,2013.0,1,20000.0,,20000.0,1,0.0,0.0,0.0
acura,sedan,gas,manual,fwd,black,142200.25,25936.674168379155,141000.0,4,2009.0,4.96655480858378,2008.5,4,6525.0,4094.4067539347707,6825.0,4,0.1823954189136739,0.002472152717065097,0.6274952879593518
acura,sedan,gas,manual,fwd,custom,214971.0,0.0,214971.0,2,2004.0,0.0,2004.0,2,4996.0,0.0,4996.0,2,0.0,0.0,0.0
acura,sedan,gas,manual,fwd,green,105000.0,,105000.0,1,2004.0,,2004.0,1,6900.0,,6900.0,1,0.0,0.0,0.0
acura,sedan,gas,manual,fwd,grey,132321.0,50457.72569190966,132321.0,2,2005.5,0.7071067811865476,2005.5,2,7445.0,2192.0310216782973,7445.0,2,0.3813281768722248,0.00035258378518401775,0.29442995590037574
acura,sedan,gas,manual,fwd,red,125815.75,92352.31052289199,145800.0,4,2006.75,9.287087810503385,2008.0,4,8895.75,7329.184055313843,8350.0,4,0.7340282160452247,0.004627924659525793,0.8238972605248397
acura,sedan,gas,manual,fwd,white,94396.0,59481.82243341238,94396.0,2,1999.5,6.363961030678928,1999.5,2,1250.5,1767.0598461851823,1250.5,2,0.6301307516569811,0.0031827762093918116,1.4130826438905897
acura,sedan,gas,manual,rwd,black,180000.0,,180000.0,1,2005.0,,2005.0,1,3200.0,,3200.0,1,0.0,0.0,0.0
acura,sedan,gas,manual,rwd,grey,221000.0,,221000.0,1,2012.0,,2012.0,1,5400.0,,5400.0,1,0.0,0.0,0.0
acura,sedan,gas,other,4wd,grey,21347.0,0.0,21347.0,2,2020.0,0.0,2020.0,2,1.0,0.0,1.0,2,0.0,0.0,0.0
acura,sedan,gas,other,4wd,white,1041.0,,1041.0,1,2021.0,,2021.0,1,46194.0,,46194.0,1,0.0,0.0,0.0
acura,sedan,gas,other,fwd,black,25105.658536585364,35383.01862082246,18043.5,82,2017.280487804878,3.1042559007562223,2019.0,82,24623.80487804878,5140.502656977784,23990.0,82,1.4093642900966072,0.0015388320660029515,0.20876150872850496
acura,sedan,gas,other,fwd,blue,69980.83333333333,35184.062417047106,55617.0,6,2012.3333333333333,4.082482904638634,2014.0,6,19325.0,7707.382824279588,22590.0,6,0.5027671255279008,0.002028730944826222,0.3988296416186074
acura,sedan,gas,other,fwd,green,183495.0,,183495.0,1,2003.0,,2003.0,1,495.0,,495.0,1,0.0,0.0,0.0
acura,sedan,gas,other,fwd,grey,97562.5,104963.6377061123,97562.5,2,2014.0,5.656854249492381,2014.0,2,13497.5,19088.347558130852,13497.5,2,1.075860476167711,0.0028087657643954224,1.4142135623730951
acura,sedan,gas,other,fwd,red,30367.263157894737,34190.03124505755,30604.0,19,2017.578947368421,2.834623029487038,2019.0,19,24516.315789473683,4419.256109505707,25990.0,19,1.1258845114650706,0.0014049626326564856,0.18025775762780627
acura,sedan,gas,other,fwd,silver,49446.491228070176,30645.565966339123,59081.0,57,2014.3508771929824,2.8188854691564083,2013.0,57,20065.859649122805,4334.809661493621,19990.0,57,0.6197723075028225,0.0013994014156483764,0.21602910302839284
acura,sedan,gas,other,fwd,white,20634.49019607843,16981.88103538306,18521.0,102,2017.1078431372548,2.817578704726516,2018.0,102,24103.725490196077,5016.843692678648,21590.0,102,0.8229852481943292,0.001396840884989208,0.20813561350585383
acura,sedan,gas,other,rwd,red,110000.0,,110000.0,1,2003.0,,2003.0,1,150.0,,150.0,1,0.0,0.0,0.0
acura,sedan,gas,other,rwd,silver,197000.0,,197000.0,1,2009.0,,2009.0,1,7999.0,,7999.0,1,0.0,0.0,0.0
acura,sedan,hybrid,automatic,fwd,black,110292.0,,110292.0,1,2013.0,,2013.0,1,7988.0,,7988.0,1,0.0,0.0,0.0
acura,sedan,other,automatic,fwd,black,100316.33333333333,65724.9772942778,62370.0,3,2011.6666666666667,2.309401076758536,2013.0,3,12584.0,5206.5447275520455,15590.0,3,0.6551772289751201,0.0011480038492585928,0.4137432237406266
acura,sedan,other,automatic,fwd,red,12668.0,,12668.0,1,2019.0,,2019.0,1,0.0,,0.0,1,0.0,0.0,0.0
acura,sedan,other,automatic,fwd,silver,73476.66666666667,20210.220050756496,75779.0,9,2012.6666666666667,1.9999999999999964,2012.0,9,16390.88888888889,1202.6666666666665,15990.0,9,0.27505629974263707,0.0009937065253395145,0.07337409672040021
acura,sedan,other,automatic,fwd,white,35961.6,29695.763810685185,29274.0,5,2016.6,3.286335345030981,2019.0,5,16390.0,10206.617338766062,15990.0,5,0.8257631420928209,0.0016296416468466633,0.6227344318954278
acura,sedan,other,other,fwd,black,26607.3488372093,28541.906764551797,5768.0,43,2017.4418604651162,3.49354728703267,2020.0,43,29408.60465116279,9107.38203494583,36590.0,43,1.0727076545347913,0.0017316718540911218,0.3096842622414502
acura,sedan,other,other,fwd,blue,45464.0,0.0,45464.0,4,2018.0,0.0,2018.0,4,24990.0,0.0,24990.0,4,0.0,0.0,0.0
acura,sedan,other,other,fwd,red,4669.0,0.0,4669.0,8,2020.0,0.0,2020.0,8,27990.0,0.0,27990.0,8,0.0,0.0,0.0
acura,sedan,other,other,fwd,white,52225.688888888886,38225.29889640096,47974.0,45,2015.3777777777777,3.0990386257741975,2015.0,45,19541.333333333332,5475.61021921094,16990.0,45,0.7319252212780952,0.0015376961381360968,0.2802065819055817
acura,truck,gas,automatic,4wd,black,145000.0,,145000.0,1,2005.0,,2005.0,1,4000.0,,4000.0,1,0.0,0.0,0.0
